# backlog/standing-reds.tsv - the standing-red register (human directive
# 2026-09-05: "we should not sweep failing tests under the carpet").
# One row per test file that fails on main and is tolerated while its fix is
# in flight. A row MUST name an OPEN ticket (backlog/paused or backlog/active);
# a row naming a closed or absent ticket is an UNOWNED red, which throttles
# intake (BL-1429) and blocks QA approval (Article 4.2). A row is removed in
# the same land that turns the test green, and no other land removes it:
# the land step itself retires every row whose owner is the landing ticket
# (BL-1631: REGISTER_ROW_RETIRED, one line per row), so a row surviving to
# main is a defect in the land, not a parcel author's forgotten cleanup
# (BL-1604: the land step also restores an open OTHER ticket's row the
# replay tree lacks - the two run in the same registry pass, never in
# tension). BL-1428 builds the reader and the
# commit guard; until then this file is read by humans and roles.
#
# Columns, tab-separated: lane<TAB>file<TAB>ticket<TAB>first_seen<TAB>note
#   lane: property | unit | bb | acceptance | shell
#   file: repo-relative path (extension/test/... for the vitest lanes)
#   first_seen: YYYY-MM-DD the red was first recorded anywhere
#
# Measured 2026-09-05 by the specifier: each property allowlist file run alone
# under vitest.properties.config.mjs; the unit suite run once (16 files / 26
# tests red per vitest; 7 distinct files). Five allowlist rows were green and
# are not registered (BL-1428 removes them from the allowlist).
# Hardening lane: the four gates in backlog/hardening-debt-ledger.yaml from
# 2026-08-19 have all discharged (BL-956's gherkin-mutation 2026-09-05;
# BL-954's mutation 2026-09-06; BL-620/BL-955/BL-956's mutation 2026-09-10,
# backlog/evidence/BL-1441-BL-620-mutation.md,
# backlog/evidence/BL-1441-BL-955-mutation.md,
# backlog/evidence/BL-1441-BL-956-pipeline-board-caption-and-cap-hotfix-mutation.md) -
# a discharged row carries no register row (BL-1428 joins a ledger row to a
# register row on (lane, file)). The hardening lane is empty of BL-1441's
# rows as of this commit (invariant 2: a register row leaves in the same
# commit that discharges it).
unit	extension/test/bl1652HandoffdRespawnReadingsWiring.test.js	BL-1724	2026-09-24	per-file budget: 13.4s in-suite, 9.6s alone at load ~13 on BL-1697 parcel 8e0fd17c06 (QA note 003138, evidence b8b7a3ab55); 8.0s alone on main at load 12.4; seven fresh bb loads of handoffd.bb; leaves when BL-1724 lands
acceptance	specs/features/BL-325-human-in-the-loop-closed.feature	BL-1738	2026-09-25	4 of 7 fail: mkSocketFixtureRoot is not defined (humanInTheLoopClosedSteps.js scope, since BL-948 77c887dc5c); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-354-answer-pairing-across-threads.feature	BL-1738	2026-09-25	5 of 5 fail: REFUSED project-root /tmp/aps-answer-p*: not inside a git checkout (BL-1517 fallout, answerPairingAcrossThreadsSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-359-always-on-operator-presence.feature	BL-1738	2026-09-25	1 of 6 fail: REFUSED project-root /tmp/sfvc-bl359-*: not inside a git checkout (BL-1517 fallout, alwaysOnOperatorPresenceSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-368-control-loss-is-not-agent-death.feature	BL-1738	2026-09-25	2 of 3 fail: REFUSED project-root /tmp/sfvc-bl368-r*: not inside a git checkout (BL-1517 fallout, controlLossIsNotAgentDeathSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-369-no-inbound-message-is-ever-lost.feature	BL-1738	2026-09-25	1 of 6 fail: REFUSED project-root /tmp/sfvc-bl369-r*: not inside a git checkout (BL-1517 fallout, noInboundMessageIsEverLostSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-413-stale-sandbox-sweep.feature	BL-1738	2026-09-25	1 of 6 fail: REFUSED project-root /tmp/bl413-p*: not inside a git checkout (BL-1517 fallout, bl413StaleSandboxSweepSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-458-acceptance-fixture-process-leak.feature	BL-1738	2026-09-25	2 of 6 fail: REFUSED project-root /tmp/bl458-p* (scenario 06) and fixture bridge never came up (scenario 05) (BL-1517 fallout, bl458AcceptanceFixtureProcessLeakSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-460-tmp-sweeps-bound-deletes-not-scan.feature	BL-1738	2026-09-25	6 of 18 fail: REFUSED project-root /tmp/bl460-p*: not inside a git checkout (BL-1517 fallout, bl460TmpSweepsBoundDeletesSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-466-agent-questions-as-telegram-polls.feature	BL-1738	2026-09-25	2 of 2 fail: REFUSED project-root /tmp/aps-agent-question-poll*: not inside a git checkout (BL-1517 fallout, bl466AgentQuestionsAsTelegramPollsSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-877-portable-process-liveness-without-proc.feature	BL-1738	2026-09-25	7 of 7 fail in ~300 s: REFUSED project-root /tmp/bl877-project-*: not inside a git checkout (BL-1517 fallout, bl877PortableProcessLivenessSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/GH-26-undeliverable-role-question-clears-marker.feature	BL-1738	2026-09-25	1 of 5 fail: REFUSED project-root /tmp/sfvc-gh26*: not inside a git checkout (BL-1517 fallout, gh26RoleQuestionUndeliverableClearsMarkerSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-611-deterministic-babysitterd-managed-by-swarm-lifecycle.feature	BL-1739	2026-09-25	3 of 27 fail: rotate-not-honored CRIT got nil (BL-1129 standing-pack skip vs fixture topology), idle-owner aged claim not starved, scenario 15 allowlist misses bl1071SweepSurvivesAnyProbeFailure.property.test.js; specifier run on main 2026-09-25; leaves when BL-1739 lands
